census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity
24510010100,Census Tract 101; Baltimore city; Maryland,"Baltimore city, Maryland",6,8,1609063,2378117,1609063,2378117,,
24510010200,Census Tract 102; Baltimore city; Maryland,"Baltimore city, Maryland",9,4,2390709,747837,2390709,747837,,
24510010300,Census Tract 103; Baltimore city; Maryland,"Baltimore city, Maryland",4,5,999348,633188,999348,689567,,-56379
24510010400,Census Tract 104; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,582048,903873,582048,903873,,
24510010500,Census Tract 105; Baltimore city; Maryland,"Baltimore city, Maryland",4,4,1096251,-69623318,1096251,637652,,-70260970
24510020100,Census Tract 201; Baltimore city; Maryland,"Baltimore city, Maryland",2,4,507702,1033901,507702,1033901,,
24510020200,Census Tract 202; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,785147,775842,785147,775842,,
24510020300,Census Tract 203; Baltimore city; Maryland,"Baltimore city, Maryland",2,1,1857264,318653,1857264,318653,,
24510030100,Census Tract 301; Baltimore city; Maryland,"Baltimore city, Maryland",1,2,195019,271015,195019,271015,,
24510030200,Census Tract 302; Baltimore city; Maryland,"Baltimore city, Maryland",4,8,1198931,2081536,1198931,2194376,,-112840
24510040100,Census Tract 401; Baltimore city; Maryland,"Baltimore city, Maryland",3,2,281678,242361,282020,242361,-342,
24510040200,Census Tract 402; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510050100,"Census Tract 501, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510060100,Census Tract 601; Baltimore city; Maryland,"Baltimore city, Maryland",11,3,1398009,-32145,1442418,80593,-44409,-112738
24510060200,Census Tract 602; Baltimore city; Maryland,"Baltimore city, Maryland",12,8,1684783,600113,1692938,645037,-8155,-44924
24510060300,Census Tract 603; Baltimore city; Maryland,"Baltimore city, Maryland",4,2,588121,334470,588121,334470,,
24510060400,Census Tract 604; Baltimore city; Maryland,"Baltimore city, Maryland",0,3,,570001,,570001,,
24510060500,"Census Tract 605, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510070100,Census Tract 701; Baltimore city; Maryland,"Baltimore city, Maryland",10,4,965530,321167,965530,321167,,
24510070200,Census Tract 702; Baltimore city; Maryland,"Baltimore city, Maryland",18,6,1952279,611331,1952279,611331,,
24510070300,Census Tract 703; Baltimore city; Maryland,"Baltimore city, Maryland",10,0,1671011,,1671011,,,
24510070400,Census Tract 704; Baltimore city; Maryland,"Baltimore city, Maryland",1,1,114366,199993,114366,199993,,
24510080101,Census Tract 801.01; Baltimore city; Maryland,"Baltimore city, Maryland",11,8,1250628,1291552,1250628,1291552,,
24510080102,Census Tract 801.02; Baltimore city; Maryland,"Baltimore city, Maryland",7,3,510437,171342,510437,196897,,-25555
24510080200,Census Tract 802; Baltimore city; Maryland,"Baltimore city, Maryland",38,2,3777217,149905,3777217,149905,,
24510080301,Census Tract 803.01; Baltimore city; Maryland,"Baltimore city, Maryland",27,3,2257026,148876,2278954,148876,-21928,
24510080302,Census Tract 803.02; Baltimore city; Maryland,"Baltimore city, Maryland",48,6,5377232,524019,5377232,524019,,
24510080400,Census Tract 804; Baltimore city; Maryland,"Baltimore city, Maryland",23,3,2590183,166565,2590183,202780,,-36215
24510080500,Census Tract 805; Baltimore city; Maryland,"Baltimore city, Maryland",23,9,1811284,719967,1811284,719967,,
24510080600,Census Tract 806; Baltimore city; Maryland,"Baltimore city, Maryland",47,4,4246385,314130,4246385,314130,,
24510080700,Census Tract 807; Baltimore city; Maryland,"Baltimore city, Maryland",20,3,2512308,441491,2512308,441491,,
24510080800,Census Tract 808; Baltimore city; Maryland,"Baltimore city, Maryland",4,1,704514,333200,704514,333200,,
24510090100,Census Tract 901; Baltimore city; Maryland,"Baltimore city, Maryland",22,9,3126264,1209056,3127355,1209056,-1091,
24510090200,Census Tract 902; Baltimore city; Maryland,"Baltimore city, Maryland",15,6,2818643,722864,2818643,722864,,
24510090300,Census Tract 903; Baltimore city; Maryland,"Baltimore city, Maryland",8,10,1387878,1140004,1387878,1140004,,
24510090400,Census Tract 904; Baltimore city; Maryland,"Baltimore city, Maryland",3,0,372227,,372227,,,
24510090500,Census Tract 905; Baltimore city; Maryland,"Baltimore city, Maryland",7,3,667285,329726,667285,329726,,
24510090600,Census Tract 906; Baltimore city; Maryland,"Baltimore city, Maryland",16,6,2015992,731832,2036344,731832,-20352,
24510090700,Census Tract 907; Baltimore city; Maryland,"Baltimore city, Maryland",30,3,3106472,251148,3144889,251148,-38417,
24510090800,Census Tract 908; Baltimore city; Maryland,"Baltimore city, Maryland",38,6,3872032,538914,3872032,538914,,
24510090900,Census Tract 909; Baltimore city; Maryland,"Baltimore city, Maryland",11,3,1041408,255727,1041408,255727,,
24510100100,Census Tract 1001; Baltimore city; Maryland,"Baltimore city, Maryland",16,1,1656336,203883,1656336,203883,,
24510100200,Census Tract 1002; Baltimore city; Maryland,"Baltimore city, Maryland",4,1,512835,59182,512835,59182,,
24510100300,Census Tract 1003; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510100400,"Census Tract 1004, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510110100,Census Tract 1101; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,274170,535706,274170,535706,,
24510110200,Census Tract 1102; Baltimore city; Maryland,"Baltimore city, Maryland",14,6,2684060,1203232,2684060,1203232,,
24510120100,Census Tract 1201; Baltimore city; Maryland,"Baltimore city, Maryland",9,13,3646609,4800160,3646609,4800160,,
24510120200,"Census Tract 1202, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510120201,Census Tract 1202.01; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,447084,682874,447084,682874,,
24510120202,Census Tract 1202.02; Baltimore city; Maryland,"Baltimore city, Maryland",1,4,241736,928841,241736,928841,,
24510120300,Census Tract 1203; Baltimore city; Maryland,"Baltimore city, Maryland",8,4,1499390,-1487087,1499390,276163,,-1763250
24510120400,Census Tract 1204; Baltimore city; Maryland,"Baltimore city, Maryland",3,0,-22223,,4703,,-26926,
24510120500,Census Tract 1205; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,495751,806555,495751,806555,,
24510120600,Census Tract 1206; Baltimore city; Maryland,"Baltimore city, Maryland",1,1,207431,293398,207431,293398,,
24510120700,Census Tract 1207; Baltimore city; Maryland,"Baltimore city, Maryland",4,8,560786,1273207,560786,1370429,,-97222
24510130100,Census Tract 1301; Baltimore city; Maryland,"Baltimore city, Maryland",2,3,360217,124414,360217,124414,,
24510130200,Census Tract 1302; Baltimore city; Maryland,"Baltimore city, Maryland",4,1,739811,103093,739811,103093,,
24510130300,Census Tract 1303; Baltimore city; Maryland,"Baltimore city, Maryland",13,2,1814084,189405,1814084,189405,,
24510130400,Census Tract 1304; Baltimore city; Maryland,"Baltimore city, Maryland",14,2,1508157,151850,1508157,151850,,
24510130600,Census Tract 1306; Baltimore city; Maryland,"Baltimore city, Maryland",9,8,1796416,1633004,1796416,1633004,,
24510130700,Census Tract 1307; Baltimore city; Maryland,"Baltimore city, Maryland",7,6,1598080,903428,1598080,903428,,
24510130803,Census Tract 1308.03; Baltimore city; Maryland,"Baltimore city, Maryland",10,10,1850715,1564965,1850715,1564965,,
24510130804,Census Tract 1308.04; Baltimore city; Maryland,"Baltimore city, Maryland",6,3,1030249,170452,1030249,170452,,
24510130805,Census Tract 1308.05; Baltimore city; Maryland,"Baltimore city, Maryland",0,1,,152704,,152704,,
24510130806,Census Tract 1308.06; Baltimore city; Maryland,"Baltimore city, Maryland",2,1,382563,51091,382563,51091,,
24510140100,Census Tract 1401; Baltimore city; Maryland,"Baltimore city, Maryland",4,7,1241968,2066923,1241968,2163683,,-96760
24510140200,Census Tract 1402; Baltimore city; Maryland,"Baltimore city, Maryland",8,0,827295,,827835,,-540,
24510140300,Census Tract 1403; Baltimore city; Maryland,"Baltimore city, Maryland",15,1,1780161,74829,1780161,74829,,
24510150100,Census Tract 1501; Baltimore city; Maryland,"Baltimore city, Maryland",13,3,1122742,174659,1138677,174659,-15935,
24510150200,Census Tract 1502; Baltimore city; Maryland,"Baltimore city, Maryland",48,4,3607554,299738,3607554,337858,,-38120
24510150300,Census Tract 1503; Baltimore city; Maryland,"Baltimore city, Maryland",29,4,2437624,192944,2455689,197844,-18065,-4900
24510150400,Census Tract 1504; Baltimore city; Maryland,"Baltimore city, Maryland",25,4,2152333,379014,2152535,379014,-202,
24510150500,Census Tract 1505; Baltimore city; Maryland,"Baltimore city, Maryland",10,1,1878858,172276,1878858,172276,,
24510150600,Census Tract 1506; Baltimore city; Maryland,"Baltimore city, Maryland",26,8,3401148,925831,3401148,925831,,
24510150701,Census Tract 1507.01; Baltimore city; Maryland,"Baltimore city, Maryland",12,5,1622691,552461,1622691,552461,,
24510150702,Census Tract 1507.02; Baltimore city; Maryland,"Baltimore city, Maryland",16,5,2890207,743301,2892334,743301,-2127,
24510150800,Census Tract 1508; Baltimore city; Maryland,"Baltimore city, Maryland",18,5,4288312,930265,4288312,930265,,
24510150900,Census Tract 1509; Baltimore city; Maryland,"Baltimore city, Maryland",26,7,3887587,1074861,3887587,1074861,,
24510151000,Census Tract 1510; Baltimore city; Maryland,"Baltimore city, Maryland",21,8,3521720,1583874,3521720,1583874,,
24510151100,Census Tract 1511; Baltimore city; Maryland,"Baltimore city, Maryland",37,11,6278892,2030091,6330995,2089092,-52103,-59001
24510151200,Census Tract 1512; Baltimore city; Maryland,"Baltimore city, Maryland",24,4,3165837,341701,3165837,341701,,
24510151300,Census Tract 1513; Baltimore city; Maryland,"Baltimore city, Maryland",23,5,2900085,390130,2900085,436911,,-46781
24510160100,Census Tract 1601; Baltimore city; Maryland,"Baltimore city, Maryland",18,4,1617735,594827,1617735,594827,,
24510160200,Census Tract 1602; Baltimore city; Maryland,"Baltimore city, Maryland",14,0,1677029,,1677029,,,
24510160300,Census Tract 1603; Baltimore city; Maryland,"Baltimore city, Maryland",11,0,1004050,,1004050,,,
24510160400,Census Tract 1604; Baltimore city; Maryland,"Baltimore city, Maryland",61,2,4976928,159713,4976928,159713,,
24510160500,Census Tract 1605; Baltimore city; Maryland,"Baltimore city, Maryland",36,9,3695658,1238192,3695658,1238192,,
24510160600,Census Tract 1606; Baltimore city; Maryland,"Baltimore city, Maryland",28,5,2347794,152848,2347794,331964,,-179116
24510160700,Census Tract 1607; Baltimore city; Maryland,"Baltimore city, Maryland",50,5,4482995,316928,4484764,316928,-1769,
24510160801,Census Tract 1608.01; Baltimore city; Maryland,"Baltimore city, Maryland",31,6,4558336,774105,4558336,783697,,-9592
24510160802,Census Tract 1608.02; Baltimore city; Maryland,"Baltimore city, Maryland",36,9,4606379,1151589,4675269,1151589,-68890,
24510170100,Census Tract 1701; Baltimore city; Maryland,"Baltimore city, Maryland",2,2,337918,393993,337918,393993,,
24510170200,Census Tract 1702; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510170300,Census Tract 1703; Baltimore city; Maryland,"Baltimore city, Maryland",3,1,422867,209672,422867,209672,,
24510180100,"Census Tract 1801, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510180200,"Census Tract 1802, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510180300,Census Tract 1803; Baltimore city; Maryland,"Baltimore city, Maryland",11,0,1131653,,1157621,,-25968,
24510190100,Census Tract 1901; Baltimore city; Maryland,"Baltimore city, Maryland",19,3,1995454,467292,1995454,467292,,
24510190200,Census Tract 1902; Baltimore city; Maryland,"Baltimore city, Maryland",20,2,1814669,421025,1920687,421025,-106018,
24510190300,Census Tract 1903; Baltimore city; Maryland,"Baltimore city, Maryland",16,3,1298035,279840,1333530,279840,-35495,
24510200100,Census Tract 2001; Baltimore city; Maryland,"Baltimore city, Maryland",23,2,2012167,77077,2012167,82793,,-5716
24510200200,Census Tract 2002; Baltimore city; Maryland,"Baltimore city, Maryland",57,7,4297401,529354,4297401,529354,,
24510200300,Census Tract 2003; Baltimore city; Maryland,"Baltimore city, Maryland",17,6,1122161,432596,1122161,432596,,
24510200400,Census Tract 2004; Baltimore city; Maryland,"Baltimore city, Maryland",12,2,819740,113551,819740,113551,,
24510200500,Census Tract 2005; Baltimore city; Maryland,"Baltimore city, Maryland",22,6,1576394,418516,1576394,418879,,-363
24510200600,Census Tract 2006; Baltimore city; Maryland,"Baltimore city, Maryland",20,5,2169038,103076,2169038,152898,,-49822
24510200701,Census Tract 2007.01; Baltimore city; Maryland,"Baltimore city, Maryland",44,3,4846666,387592,4898182,387592,-51516,
24510200702,Census Tract 2007.02; Baltimore city; Maryland,"Baltimore city, Maryland",13,6,1618121,542840,1618121,548498,,-5658
24510200800,Census Tract 2008; Baltimore city; Maryland,"Baltimore city, Maryland",2,2,212970,423675,212970,423675,,
24510210100,Census Tract 2101; Baltimore city; Maryland,"Baltimore city, Maryland",7,5,1060946,505238,1060946,505238,,
24510210200,Census Tract 2102; Baltimore city; Maryland,"Baltimore city, Maryland",12,3,1449104,215728,1449104,226945,,-11217
24510220100,Census Tract 2201; Baltimore city; Maryland,"Baltimore city, Maryland",5,4,1602871,1078710,1602871,1078710,,
24510230100,Census Tract 2301; Baltimore city; Maryland,"Baltimore city, Maryland",4,2,695318,966056,695318,966056,,
24510230200,Census Tract 2302; Baltimore city; Maryland,"Baltimore city, Maryland",4,2,728193,84645,728193,84645,,
24510230300,Census Tract 2303; Baltimore city; Maryland,"Baltimore city, Maryland",2,8,350814,812743,350814,1043794,,-231051
24510240100,Census Tract 2401; Baltimore city; Maryland,"Baltimore city, Maryland",4,8,923926,2270764,923926,2270764,,
24510240200,Census Tract 2402; Baltimore city; Maryland,"Baltimore city, Maryland",8,2,3455396,1108459,3455396,1108459,,
24510240300,Census Tract 2403; Baltimore city; Maryland,"Baltimore city, Maryland",0,8,,939262,,999098,,-59836
24510240400,Census Tract 2404; Baltimore city; Maryland,"Baltimore city, Maryland",6,7,1474729,1701236,1474729,1701236,,
24510250101,Census Tract 2501.01; Baltimore city; Maryland,"Baltimore city, Maryland",10,5,1553856,574432,1562296,598285,-8440,-23853
24510250102,Census Tract 2501.02; Baltimore city; Maryland,"Baltimore city, Maryland",5,1,572364,38951,572364,38951,,
24510250103,Census Tract 2501.03; Baltimore city; Maryland,"Baltimore city, Maryland",11,4,1804153,988757,1811219,988757,-7066,
24510250203,Census Tract 2502.03; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510250204,Census Tract 2502.04; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510250205,Census Tract 2502.05; Baltimore city; Maryland,"Baltimore city, Maryland",14,4,2035456,482002,2035456,482002,,
24510250206,Census Tract 2502.06; Baltimore city; Maryland,"Baltimore city, Maryland",11,5,1230830,430045,1230830,430045,,
24510250207,Census Tract 2502.07; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510250301,Census Tract 2503.01; Baltimore city; Maryland,"Baltimore city, Maryland",9,3,927202,273836,927202,273836,,
24510250302,"Census Tract 2503.02, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510250303,Census Tract 2503.03; Baltimore city; Maryland,"Baltimore city, Maryland",11,3,826609,381083,834089,381083,-7480,
24510250401,Census Tract 2504.01; Baltimore city; Maryland,"Baltimore city, Maryland",2,0,511489,,511489,,,
24510250402,Census Tract 2504.02; Baltimore city; Maryland,"Baltimore city, Maryland",2,0,464442,,464442,,,
