census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity
24510250500,Census Tract 2505; Baltimore city; Maryland,"Baltimore city, Maryland",1,0,225104,,225104,,,
24510250600,Census Tract 2506; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510260101,Census Tract 2601.01; Baltimore city; Maryland,"Baltimore city, Maryland",14,4,1737923,594706,1737923,594706,,
24510260102,Census Tract 2601.02; Baltimore city; Maryland,"Baltimore city, Maryland",11,10,1880936,1305821,1880936,1343712,,-37891
24510260201,Census Tract 2602.01; Baltimore city; Maryland,"Baltimore city, Maryland",9,4,1444268,694517,1462055,694517,-17787,
24510260202,Census Tract 2602.02; Baltimore city; Maryland,"Baltimore city, Maryland",10,5,1015196,617947,1033408,617947,-18212,
24510260203,Census Tract 2602.03; Baltimore city; Maryland,"Baltimore city, Maryland",5,2,822013,90350,822013,90350,,
24510260301,Census Tract 2603.01; Baltimore city; Maryland,"Baltimore city, Maryland",13,6,1085732,746279,1091871,746279,-6139,
24510260302,Census Tract 2603.02; Baltimore city; Maryland,"Baltimore city, Maryland",22,9,2548170,1179363,2553732,1179363,-5562,
24510260303,Census Tract 2603.03; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510260401,Census Tract 2604.01; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510260402,Census Tract 2604.02; Baltimore city; Maryland,"Baltimore city, Maryland",3,3,432229,224489,432229,224489,,
24510260403,Census Tract 2604.03; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510260404,Census Tract 2604.04; Baltimore city; Maryland,"Baltimore city, Maryland",7,0,865518,,865518,,,
24510260501,Census Tract 2605.01; Baltimore city; Maryland,"Baltimore city, Maryland",22,13,2986628,2035146,3006608,2035146,-19980,
24510260604,Census Tract 2606.04; Baltimore city; Maryland,"Baltimore city, Maryland",0,1,,152659,,152659,,
24510260605,Census Tract 2606.05; Baltimore city; Maryland,"Baltimore city, Maryland",6,4,936814,446723,936814,446723,,
24510260700,Census Tract 2607; Baltimore city; Maryland,"Baltimore city, Maryland",8,9,1339984,1579032,1339984,1579032,,
24510260800,Census Tract 2608; Baltimore city; Maryland,"Baltimore city, Maryland",9,1,1165278,192655,1187547,192655,-22269,
24510260900,Census Tract 2609; Baltimore city; Maryland,"Baltimore city, Maryland",9,13,1854761,1644068,1854761,1815088,,-171020
24510261000,Census Tract 2610; Baltimore city; Maryland,"Baltimore city, Maryland",10,3,1032831,581447,1032831,581447,,
24510261100,Census Tract 2611; Baltimore city; Maryland,"Baltimore city, Maryland",3,3,861070,611889,861070,611889,,
24510270101,Census Tract 2701.01; Baltimore city; Maryland,"Baltimore city, Maryland",3,1,344958,257659,344958,257659,,
24510270102,Census Tract 2701.02; Baltimore city; Maryland,"Baltimore city, Maryland",7,10,895288,1394201,915722,1416948,-20434,-22747
24510270200,Census Tract 2702; Baltimore city; Maryland,"Baltimore city, Maryland",3,1,773935,2690,773935,2690,,
24510270301,Census Tract 2703.01; Baltimore city; Maryland,"Baltimore city, Maryland",14,7,2829442,1248880,2829442,1248880,,
24510270302,Census Tract 2703.02; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,516572,426770,516572,426770,,
24510270401,Census Tract 2704.01; Baltimore city; Maryland,"Baltimore city, Maryland",9,8,1275795,1068159,1525179,1068159,-249384,
24510270402,Census Tract 2704.02; Baltimore city; Maryland,"Baltimore city, Maryland",10,5,1856570,857192,1856570,857192,,
24510270501,Census Tract 2705.01; Baltimore city; Maryland,"Baltimore city, Maryland",3,2,441316,217111,467739,217111,-26423,
24510270502,Census Tract 2705.02; Baltimore city; Maryland,"Baltimore city, Maryland",13,10,2288322,1727470,2288322,1727470,,
24510270600,Census Tract 2706; Baltimore city; Maryland,"Baltimore city, Maryland",12,6,1514667,1092619,1533459,1092619,-18792,
24510270701,Census Tract 2707.01; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510270702,Census Tract 2707.02; Baltimore city; Maryland,"Baltimore city, Maryland",1,3,234078,317414,234078,317414,,
24510270703,Census Tract 2707.03; Baltimore city; Maryland,"Baltimore city, Maryland",0,1,,328720,,328720,,
24510270801,Census Tract 2708.01; Baltimore city; Maryland,"Baltimore city, Maryland",14,3,1906603,531221,1906603,531221,,
24510270802,Census Tract 2708.02; Baltimore city; Maryland,"Baltimore city, Maryland",15,3,2107004,501240,2110336,501240,-3332,
24510270803,Census Tract 2708.03; Baltimore city; Maryland,"Baltimore city, Maryland",10,6,1303841,981831,1303841,981831,,
24510270804,Census Tract 2708.04; Baltimore city; Maryland,"Baltimore city, Maryland",8,4,2687894,908450,2687894,908450,,
24510270805,Census Tract 2708.05; Baltimore city; Maryland,"Baltimore city, Maryland",32,18,5024508,2725975,5024508,2744686,,-18711
24510270901,Census Tract 2709.01; Baltimore city; Maryland,"Baltimore city, Maryland",24,5,3443399,521113,3488704,526249,-45305,-5136
24510270902,Census Tract 2709.02; Baltimore city; Maryland,"Baltimore city, Maryland",16,3,2105931,329593,2105931,329593,,
24510270903,Census Tract 2709.03; Baltimore city; Maryland,"Baltimore city, Maryland",19,3,3630434,354375,3630434,354375,,
24510271001,Census Tract 2710.01; Baltimore city; Maryland,"Baltimore city, Maryland",14,0,2058756,,2058756,,,
24510271002,Census Tract 2710.02; Baltimore city; Maryland,"Baltimore city, Maryland",22,3,3296602,334771,3337583,334771,-40981,
24510271101,Census Tract 2711.01; Baltimore city; Maryland,"Baltimore city, Maryland",6,6,939929,824314,939929,824314,,
24510271102,Census Tract 2711.02; Baltimore city; Maryland,"Baltimore city, Maryland",2,7,1909586,3556019,1909586,3556019,,
24510271200,Census Tract 2712; Baltimore city; Maryland,"Baltimore city, Maryland",15,15,6895178,6493601,6895178,6493601,,
24510271300,Census Tract 2713; Baltimore city; Maryland,"Baltimore city, Maryland",6,6,3748293,4026757,3748293,4026757,,
24510271400,Census Tract 2714; Baltimore city; Maryland,"Baltimore city, Maryland",8,11,2735862,6270998,2735862,6270998,,
24510271501,Census Tract 2715.01; Baltimore city; Maryland,"Baltimore city, Maryland",17,5,6689896,2061034,6689896,2061034,,
24510271503,Census Tract 2715.03; Baltimore city; Maryland,"Baltimore city, Maryland",2,2,225192,431119,225192,431119,,
24510271600,Census Tract 2716; Baltimore city; Maryland,"Baltimore city, Maryland",20,2,3074033,378398,3074033,378398,,
24510271700,Census Tract 2717; Baltimore city; Maryland,"Baltimore city, Maryland",44,2,5187218,238154,5195089,238154,-7871,
24510271801,Census Tract 2718.01; Baltimore city; Maryland,"Baltimore city, Maryland",33,6,4472478,751398,4472478,751398,,
24510271802,Census Tract 2718.02; Baltimore city; Maryland,"Baltimore city, Maryland",15,3,1648328,240172,1686725,240172,-38397,
24510271900,Census Tract 2719; Baltimore city; Maryland,"Baltimore city, Maryland",28,7,5493213,1739256,5493213,1739256,,
24510272001,"Census Tract 2720.01, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510272002,"Census Tract 2720.02, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510272003,Census Tract 2720.03; Baltimore city; Maryland,"Baltimore city, Maryland",17,7,5782297,1223427,5782297,1223427,,
24510272004,Census Tract 2720.04; Baltimore city; Maryland,"Baltimore city, Maryland",4,3,1462609,654826,1462609,667255,,-12429
24510272005,Census Tract 2720.05; Baltimore city; Maryland,"Baltimore city, Maryland",2,9,795815,1653229,795815,1653229,,
24510272006,Census Tract 2720.06; Baltimore city; Maryland,"Baltimore city, Maryland",13,5,2894026,1124315,2894026,1124315,,
24510272007,Census Tract 2720.07; Baltimore city; Maryland,"Baltimore city, Maryland",3,2,436954,245307,436954,245307,,
24510280101,Census Tract 2801.01; Baltimore city; Maryland,"Baltimore city, Maryland",21,5,2643634,683160,2643634,683160,,
24510280102,Census Tract 2801.02; Baltimore city; Maryland,"Baltimore city, Maryland",10,3,1625880,324233,1625880,324233,,
24510280200,Census Tract 2802; Baltimore city; Maryland,"Baltimore city, Maryland",1,1,253439,323741,253439,323741,,
24510280301,Census Tract 2803.01; Baltimore city; Maryland,"Baltimore city, Maryland",2,3,591234,889041,591234,889041,,
24510280302,Census Tract 2803.02; Baltimore city; Maryland,"Baltimore city, Maryland",9,0,1497931,,1497931,,,
24510280401,Census Tract 2804.01; Baltimore city; Maryland,"Baltimore city, Maryland",13,9,2532390,1294219,2532390,1299077,,-4858
24510280402,Census Tract 2804.02; Baltimore city; Maryland,"Baltimore city, Maryland",32,3,4818300,537936,4818300,537936,,
24510280403,Census Tract 2804.03; Baltimore city; Maryland,"Baltimore city, Maryland",8,6,1530600,502420,1530600,502420,,
24510280404,Census Tract 2804.04; Baltimore city; Maryland,"Baltimore city, Maryland",8,3,1373673,454386,1373673,454386,,
24510280500,Census Tract 2805; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510280600,Census Tract 2806; Baltimore city; Maryland,"Baltimore city, Maryland",9,1,1293915,175472,1293915,175472,,
24003750201,Census Tract 7502.01; Anne Arundel County; Maryland,"Anne Arundel County, Maryland",2,4,615931,1107018,615931,1107018,,
24005400100,Census Tract 4001; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,323226,,323226,,,
24005400600,Census Tract 4006; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,140649,,140649,,
24005400702,Census Tract 4007.02; Baltimore County; Maryland,"Baltimore County, Maryland",4,4,787958,551671,787958,551671,,
24005400800,Census Tract 4008; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,34900,,34900,,
24005400900,Census Tract 4009; Baltimore County; Maryland,"Baltimore County, Maryland",0,2,,47300,,47300,,
24005401000,Census Tract 4010; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,2800,,2800,,
24005401101,Census Tract 4011.01; Baltimore County; Maryland,"Baltimore County, Maryland",5,0,227300,,227300,,,
24005401301,Census Tract 4013.01; Baltimore County; Maryland,"Baltimore County, Maryland",1,1,1767,1333,1767,1333,,
24005401302,Census Tract 4013.02; Baltimore County; Maryland,"Baltimore County, Maryland",5,6,1082501,929648,1082501,929648,,
24005402202,Census Tract 4022.02; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,7367,,7367,,,
24005402404,Census Tract 4024.04; Baltimore County; Maryland,"Baltimore County, Maryland",0,2,,86100,,86100,,
24005403100,Census Tract 4031; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,179254,,179254,,
24005403201,Census Tract 4032.01; Baltimore County; Maryland,"Baltimore County, Maryland",8,2,298668,397476,298668,397476,,
24005403202,Census Tract 4032.02; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,14100,,14100,,,
24005403402,Census Tract 4034.02; Baltimore County; Maryland,"Baltimore County, Maryland",3,0,482578,,482578,,,
24005403500,Census Tract 4035; Baltimore County; Maryland,"Baltimore County, Maryland",2,1,924848,673186,924848,673186,,
24005403601,Census Tract 4036.01; Baltimore County; Maryland,"Baltimore County, Maryland",6,8,2668414,3055129,2668414,3055129,,
24005403602,Census Tract 4036.02; Baltimore County; Maryland,"Baltimore County, Maryland",4,10,1031834,3673319,1031834,3673319,,
24005403803,Census Tract 4038.03; Baltimore County; Maryland,"Baltimore County, Maryland",2,1,495556,456321,495556,456321,,
24005411404,Census Tract 4114.04; Baltimore County; Maryland,"Baltimore County, Maryland",0,3,,5300,,5300,,
24005420100,Census Tract 4201; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,2800,,2800,,,
24005420500,Census Tract 4205; Baltimore County; Maryland,"Baltimore County, Maryland",13,5,2096012,552020,2096012,552020,,
24005420600,Census Tract 4206; Baltimore County; Maryland,"Baltimore County, Maryland",12,2,1493000,417994,1493000,417994,,
24005420800,Census Tract 4208; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,300,,300,,,
24005430104,Census Tract 4301.04; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,100,,100,,,
24005430200,Census Tract 4302; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,1067,,1067,,
24005430300,Census Tract 4303; Baltimore County; Maryland,"Baltimore County, Maryland",2,0,223775,,223775,,,
24005430400,Census Tract 4304; Baltimore County; Maryland,"Baltimore County, Maryland",1,2,29733,320511,29733,320511,,
24005430700,Census Tract 4307; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,419234,,419234,,
24005430900,Census Tract 4309; Baltimore County; Maryland,"Baltimore County, Maryland",3,6,889491,1245468,889491,1245468,,
24005440200,Census Tract 4402; Baltimore County; Maryland,"Baltimore County, Maryland",3,3,581854,254301,581854,254301,,
24005440400,Census Tract 4404; Baltimore County; Maryland,"Baltimore County, Maryland",12,10,2489792,1854448,2539847,1854448,-50055,
24005440500,Census Tract 4405; Baltimore County; Maryland,"Baltimore County, Maryland",4,4,1051696,972889,1051696,972889,,
24005441000,Census Tract 4410; Baltimore County; Maryland,"Baltimore County, Maryland",6,10,1157784,1615321,1171725,1615321,-13941,
24005441102,Census Tract 4411.02; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,69767,,69767,,,
24005450100,Census Tract 4501; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,2500,,2500,,,
24005450200,Census Tract 4502; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,1900,,1900,,
24005450300,Census Tract 4503; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,100,,100,,,
24005450501,Census Tract 4505.01; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,16500,,16500,,
24005451000,Census Tract 4510; Baltimore County; Maryland,"Baltimore County, Maryland",2,3,89666,-64403,89666,44333,,-108736
24005451701,Census Tract 4517.01; Baltimore County; Maryland,"Baltimore County, Maryland",2,0,64833,,64833,,,
24005451702,Census Tract 4517.02; Baltimore County; Maryland,"Baltimore County, Maryland",4,0,323600,,323600,,,
24005451801,Census Tract 4518.01; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,11904,,11904,,
24005451802,Census Tract 4518.02; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,25100,,25100,,
24005452100,Census Tract 4521; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,58833,,58833,,
24005452300,Census Tract 4523; Baltimore County; Maryland,"Baltimore County, Maryland",21,8,3044961,693057,3044961,693057,,
24005452400,Census Tract 4524; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,400,,400,,,
24005490400,Census Tract 4904; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,315281,,315281,,,
24005490500,Census Tract 4905; Baltimore County; Maryland,"Baltimore County, Maryland",4,0,3737982,,3737982,,,
24005490601,Census Tract 4906.01; Baltimore County; Maryland,"Baltimore County, Maryland",8,7,2337763,1513019,2337763,1513019,,
24005490602,Census Tract 4906.02; Baltimore County; Maryland,"Baltimore County, Maryland",4,4,1429101,1227421,1429101,1227421,,
24005490603,Census Tract 4906.03; Baltimore County; Maryland,"Baltimore County, Maryland",5,8,1211834,3618617,1211834,3618617,,
24005491000,Census Tract 4910; Baltimore County; Maryland,"Baltimore County, Maryland",1,5,512028,1204282,512028,1204282,,
24005491100,Census Tract 4911; Baltimore County; Maryland,"Baltimore County, Maryland",4,3,1583447,227282,1583447,227471,,-189
24005491300,Census Tract 4913; Baltimore County; Maryland,"Baltimore County, Maryland",2,3,609612,632434,609612,632434,,
24005491402,Census Tract 4914.02; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,-79991,,,,-79991
24005491500,Census Tract 4915; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,23700,,23700,,,
24005492002,Census Tract 4920.02; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,300,,300,,,
24005492101,Census Tract 4921.01; Baltimore County; Maryland,"Baltimore County, Maryland",2,0,4100,,4100,,,
24005492200,Census Tract 4922; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,31300,,31300,,
Unmatched,,,6,9,1118856,1841852,1118856,1841852,,